machine_id,area_id,description_id,programmed_stop_id,minutes,hour,day_of_week
30650,6,13,1,389.0,7,3
30650,6,13,1,18.0,13,3
30650,6,13,1,45.0,14,3
30650,6,14,1,25.0,15,3
30650,6,14,1,22.0,16,3
30650,6,14,1,40.0,18,3
30650,6,4,1,86.0,19,3
30652,4,1,2,340.0,7,3
30652,6,4,1,40.0,14,3
30652,6,4,1,30.0,18,3
30652,6,4,1,20.0,20,3
30653,6,4,1,126.0,9,3
30653,4,1,1,408.0,14,3
30654,6,4,1,46.0,7,3
30654,4,1,4,207.0,11,3
30654,4,1,3,90.0,19,3
30665,1,6,1,15.0,7,4
30664,1,6,1,5.0,9,4
30664,1,6,1,20.0,19,4
45010,4,1,2,300.0,7,4
45010,4,1,3,90.0,14,4
44837,1,6,1,105.0,7,4
44837,1,6,1,26.0,9,4
44837,1,6,1,22.0,12,4
44837,1,6,1,74.0,14,4
44837,4,1,3,300.0,16,4
44836,4,1,2,420.0,7,4
44836,4,1,3,290.0,16,4
43857,4,1,4,410.0,13,4
43857,4,1,2,300.0,7,4
38597,4,1,2,305.0,7,4
38597,1,6,1,22.0,12,4
38597,4,20,1,150.0,13,4
38597,4,20,1,120.0,17,4
38596,4,1,2,300.0,7,4
38596,1,6,1,735.0,0,4
38596,4,1,3,300.0,16,4
30650,5,19,1,20.0,7,4
30650,6,4,1,54.0,8,4
30650,6,14,1,13.0,10,4
30650,5,19,1,29.0,11,4
30650,6,13,1,178.0,13,4
30650,6,4,1,97.0,16,4
30650,6,14,1,36.0,19,4
30650,6,14,1,19.0,20,4
30651,6,13,1,18.0,8,4
30651,4,1,3,120.0,14,4
30652,4,1,2,81.0,7,4
30652,6,4,1,32.0,9,4
30652,4,1,3,235.0,12,4
30653,4,1,4,227.0,8,4
30653,4,1,1,168.0,12,4
30653,4,1,3,160.0,18,4
30654,4,1,2,360.0,7,4
30654,6,4,1,125.0,18,4
30665,1,17,1,400.0,7,5
30665,1,6,1,50.0,14,5
30665,1,6,1,12.0,15,5
30665,4,1,5,40.0,16,5
30665,1,6,1,24.0,18,5
30664,1,6,1,7.0,9,5
30664,3,1,5,70.0,12,5
30664,1,6,1,10.0,13,5
30664,4,1,5,40.0,16,5
30664,1,6,1,30.0,18,5
43857,1,6,1,36.0,7,5
43857,4,1,5,70.0,12,5
43857,4,1,3,93.0,14,5
38597,1,6,1,12.0,8,5
38597,4,1,3,330.0,10,5
38596,4,1,2,290.0,7,5
38596,4,1,5,70.0,12,5
38596,4,1,3,360.0,15,5
30650,6,4,1,90.0,8,5
30650,5,19,1,32.0,11,5
30650,3,1,5,70.0,12,5
30650,6,4,1,42.0,13,5
30650,6,14,1,28.0,15,5
30650,6,14,1,22.0,16,5
30650,6,14,1,22.0,17,5
30650,6,14,1,25.0,18,5
30650,4,1,3,70.0,19,5
30651,4,1,2,390.0,7,5
30651,4,1,5,40.0,17,5
30651,4,1,3,67.0,19,5
30652,4,1,5,70.0,12,5
30652,4,1,3,152.0,13,5
30653,4,1,2,290.0,7,5
30653,4,1,5,70.0,12,5
30653,4,1,3,300.0,16,5
30654,6,4,1,112.0,10,5
30654,4,1,5,70.0,12,5
30654,1,6,1,33.0,14,5
30654,4,1,3,33.0,15,5
30665,1,6,1,10.0,9,6
30665,1,6,1,28.0,10,6
30665,1,18,1,22.0,13,6
30665,1,6,1,19.0,18,6
30664,1,6,1,40.0,7,6
30664,1,18,1,36.0,8,6
30664,1,6,1,28.0,9,6
45010,4,1,2,435.0,7,6
45010,4,1,3,60.0,20,6
38598,4,1,2,392.0,7,6
38598,4,1,3,180.0,18,6
38597,4,1,2,225.0,7,6
38597,1,17,1,358.0,13,6
38596,4,1,2,315.0,7,6
38596,4,1,3,300.0,16,6
30650,6,13,1,70.0,7,6
30650,6,4,1,187.0,9,6
30650,6,14,1,30.0,13,6
30650,6,14,1,25.0,14,6
30650,4,22,1,160.0,15,6
30650,4,1,3,85.0,19,6
30651,6,4,1,79.0,10,6
30651,4,1,3,829.0,2,6
30652,4,1,2,300.0,7,6
30652,4,1,3,300.0,16,6
30653,4,1,4,245.0,8,6
30653,4,1,3,300.0,16,6
30654,4,1,2,169.0,7,6
30654,4,1,4,99.0,10,6
30654,6,4,1,43.0,13,6
30654,6,4,1,64.0,15,6
30654,4,1,3,205.0,17,6
30665,1,6,1,10.0,7,2
30665,1,6,1,57.0,10,2
30665,1,6,1,31.0,1,2
30665,1,6,1,9.0,20,2
30664,1,6,1,28.0,11,2
30664,1,6,1,20.0,19,2
38598,4,1,2,520.0,7,2
38597,1,17,1,450.0,11,2
38596,4,1,2,310.0,7,2
38596,4,1,3,930.0,0,2
30650,5,19,1,60.0,7,2
30650,6,13,1,16.0,8,2
30650,6,4,1,218.0,11,2
30650,6,4,1,105.0,17,2
30651,4,1,2,305.0,7,2
30651,1,6,1,10.0,14,2
30651,4,1,3,40.0,15,2
30652,4,1,2,280.0,7,2
30652,4,1,3,300.0,16,2
30653,4,1,2,303.0,7,2
30653,4,1,3,300.0,16,2
30654,4,1,2,340.0,7,2
30654,6,13,1,75.0,13,2
30654,4,1,4,225.0,15,2
30665,1,6,1,12.0,7,3
30665,1,6,1,14.0,9,3
30665,1,6,1,22.0,11,3
30665,1,6,1,11.0,14,3
30665,1,6,1,25.0,18,3
30665,1,6,1,25.0,19,3
30664,1,8,1,35.0,8,3
30664,1,8,1,13.0,13,3
44837,4,1,2,779.0,7,3
43857,4,1,2,150.0,7,3
43857,1,17,1,89.0,13,3
43857,4,1,3,300.0,16,3
38598,4,1,1,240.0,8,3
38598,4,1,3,240.0,12,3
38597,4,1,2,305.0,7,3
38597,4,1,3,300.0,16,3
38596,4,1,2,342.0,7,3
38596,4,1,5,120.0,16,3
30650,5,19,1,36.0,8,3
30650,5,19,1,36.0,9,3
30650,5,19,1,36.0,11,3
30650,4,1,1,365.0,12,3
30651,4,1,2,300.0,7,3
30651,4,1,3,300.0,16,3
30652,6,4,1,68.0,7,3
30652,4,1,3,35.0,15,3
30653,2,3,1,19.0,7,3
30653,4,1,5,60.0,11,3
30653,4,1,3,300.0,16,3
30654,6,4,1,43.0,7,3
30654,4,1,4,165.0,10,3
30654,4,1,3,260.0,16,3
30665,1,6,1,16.0,14,4
30665,1,6,1,16.0,19,4
30664,1,6,1,34.0,7,4
30664,1,6,1,34.0,8,4
30664,1,6,1,27.0,9,4
30664,1,6,1,17.0,16,4
30664,1,6,1,20.0,19,4
45010,4,1,3,380.0,9,4
44837,4,1,3,300.0,11,4
43857,4,1,2,300.0,7,4
43857,4,1,3,200.0,12,4
38597,4,1,2,300.0,7,4
38597,1,17,1,920.0,2,4
38596,4,1,3,338.0,10,4
30650,6,4,1,126.0,7,4
30650,6,14,1,35.0,10,4
30650,6,14,1,35.0,11,4
30650,6,14,1,35.0,0,4
30650,4,1,4,193.0,13,4
30651,4,1,2,300.0,7,4
30651,6,13,1,70.0,12,4
30652,4,1,2,300.0,7,4
30652,4,1,3,300.0,16,4
30653,4,1,4,281.0,7,4
30653,4,1,3,300.0,16,4
30654,4,1,4,215.0,10,4
30654,4,1,3,40.0,15,4
30665,1,6,1,44.0,9,5
30665,1,6,1,22.0,11,5
30665,1,6,1,14.0,13,5
30665,1,6,1,26.0,15,5
30665,1,6,1,26.0,17,5
30664,1,6,1,11.0,8,5
30664,1,6,1,15.0,11,5
30664,1,6,1,36.0,14,5
30664,1,6,1,5.0,15,5
30664,3,15,1,180.0,18,5
45010,4,1,3,360.0,10,5
44837,4,1,2,300.0,7,5
44837,4,1,3,120.0,14,5
44836,4,1,2,300.0,7,5
44836,4,1,3,110.0,14,5
43857,4,1,2,165.0,7,5
43857,4,1,3,270.0,11,5
38597,4,1,2,360.0,7,5
38597,4,1,3,1020.0,16,5
30650,6,4,1,95.0,8,5
30650,6,4,1,35.0,13,5
30650,5,19,1,25.0,15,5
30650,5,19,1,30.0,17,5
30650,5,19,1,25.0,18,5
30650,6,4,1,60.0,20,5
30651,1,6,1,91.0,7,5
30651,4,1,3,190.0,12,5
30652,4,1,2,300.0,7,5
30650,6,4,1,90.0,19,5
30654,4,1,3,480.0,8,5
30652,4,1,3,315.0,10,6
30650,6,4,1,120.0,10,6
30650,5,19,1,100.0,13,6
30654,2,7,1,60.0,6,2
30654,6,4,1,60.0,8,2
30654,3,15,1,215.0,11,2
30653,2,7,1,60.0,6,2
30653,4,22,3,325.0,9,2
30651,2,7,1,60.0,6,2
30651,4,22,3,215.0,11,2
30654,4,22,2,360.0,6,5
30653,4,22,2,240.0,6,5
30651,2,7,1,60.0,6,5
30651,4,22,3,420.0,8,5
30650,2,7,1,60.0,6,5
30650,6,4,1,90.0,7,5
38597,2,7,1,60.0,6,5
38597,4,22,3,195.0,12,5
38598,2,7,1,60.0,6,5
38598,4,22,3,315.0,10,5
30654,6,14,1,25.0,8,6
30654,6,4,1,60.0,10,6
30654,4,22,3,135.0,13,6
30653,6,4,1,60.0,9,6
30653,3,15,1,93.0,10,6
30650,5,19,1,41.0,9,6
30650,6,4,1,45.0,10,6
30650,6,13,1,135.0,11,6
43857,4,22,2,360.0,6,6
43857,4,22,3,130.0,13,6
44836,4,22,2,180.0,6,6
44836,4,22,3,215.0,11,6
44837,4,22,3,375.0,9,6
30654,2,7,1,25.0,6,5
30654,4,22,3,415.0,8,5
30653,2,7,1,25.0,6,5
30653,4,22,3,495.0,7,5
30651,2,7,1,15.0,6,5
30651,3,15,1,45.0,7,5
30651,3,15,1,95.0,13,5
30650,2,7,1,10.0,6,5
30650,5,19,1,90.0,9,5
30650,6,4,1,110.0,14,5
30650,6,14,1,20.0,18,5
30650,5,19,1,120.0,20,5
30664,1,6,1,60.0,6,5
30664,1,6,1,30.0,8,5
30664,1,6,1,137.0,15,5
30664,1,6,1,285.0,18,5
30665,1,6,1,120.0,6,5
30665,1,6,1,240.0,19,5
38597,4,22,2,105.0,14,5
38597,4,22,3,385.0,16,5
43857,4,22,2,165.0,14,5
43857,4,22,3,140.0,20,5
44836,3,15,1,120.0,6,5
44836,1,17,1,5.0,10,5
44836,4,22,3,165.0,12,5
